家　(いえ, ie) : বাড়ি
犬　(いぬ, inu) : কুকুর
猫　(ねこ, neko) : বিড়াল
学校　(がっこう, gakkou) : স্কুল
先生　(せんせい, sensei) : শিক্ষক
友達　(ともだち, tomodachi) : বন্ধু
日本　(にほん, nihon) : জাপান
ありがとう (arigatou) : ধন্যবাদ
水　(みず, mizu) : পানি
食べる　(たべる, taberu) : খাওয়া
行く　(いく, iku) : যাওয়া
見る　(みる, miru) : দেখা
食べ物　(たべもの, tabemono) : খাবার
大きい　(おおきい, ookii) : বড়
小さい　(ちいさい, chiisai) : ছোট
高い　(たかい, takai) : উঁচু/দামী
安い　(やすい, yasui) : সস্তা
嬉しい　(うれしい, ureshii) : খুশি
悲しい　(かなしい, kanashii) : দুঃখিত
美しい　(うつくしい, utsukushii) : সুন্দর
